name,shot_made_flag,shot_type,shot_distance,x,y,,
Stephen Curry,1,2PT Field Goal,1,15,9,,
Stephen Curry,0,2PT Field Goal,1,7,9,,
Stephen Curry,0,2PT Field Goal,1,-7,17,,
Stephen Curry,1,2PT Field Goal,1,-18,6,,
Stephen Curry,1,2PT Field Goal,2,-10,20,,
Stephen Curry,1,2PT Field Goal,0,0,1,,
Stephen Curry,1,2PT Field Goal,0,0,1,,
Stephen Curry,1,2PT Field Goal,0,0,1,,
Stephen Curry,1,2PT Field Goal,15,149,39,,
Stephen Curry,1,2PT Field Goal,16,-160,45,,
Stephen Curry,1,3PT Field Goal,27,176,216,,
Stephen Curry,0,2PT Field Goal,18,163,89,,
Stephen Curry,1,2PT Field Goal,10,102,34,,
Stephen Curry,0,3PT Field Goal,26,119,236,,
Stephen Curry,1,2PT Field Goal,17,-175,25,,
Stephen Curry,1,2PT Field Goal,21,173,126,,
Stephen Curry,1,2PT Field Goal,3,28,14,,
Stephen Curry,1,2PT Field Goal,1,6,19,,
Stephen Curry,1,2PT Field Goal,3,0,30,,
Stephen Curry,1,2PT Field Goal,2,-23,-3,,
Stephen Curry,1,2PT Field Goal,10,18,101,,
Stephen Curry,0,2PT Field Goal,8,59,66,,
Stephen Curry,0,2PT Field Goal,5,48,26,,
Stephen Curry,1,2PT Field Goal,6,7,60,,
Stephen Curry,0,2PT Field Goal,11,102,53,,
Stephen Curry,0,2PT Field Goal,9,92,15,,
Stephen Curry,1,2PT Field Goal,3,0,37,,
Stephen Curry,0,2PT Field Goal,10,2,104,,
Stephen Curry,1,2PT Field Goal,4,45,9,,
Stephen Curry,1,2PT Field Goal,11,-4,119,,
Stephen Curry,1,2PT Field Goal,6,4,64,,
Stephen Curry,1,2PT Field Goal,9,-95,30,,
Stephen Curry,0,2PT Field Goal,10,91,42,,
Stephen Curry,1,2PT Field Goal,9,-86,45,,
Stephen Curry,0,2PT Field Goal,6,62,19,,
Stephen Curry,1,2PT Field Goal,17,-109,143,,
Stephen Curry,0,2PT Field Goal,13,31,134,,
Stephen Curry,0,2PT Field Goal,7,28,74,,
Stephen Curry,1,2PT Field Goal,11,-10,112,,
Stephen Curry,0,2PT Field Goal,13,24,135,,
Stephen Curry,1,2PT Field Goal,12,105,60,,
Stephen Curry,0,2PT Field Goal,9,2,96,,
Stephen Curry,0,2PT Field Goal,9,0,99,,
Stephen Curry,1,2PT Field Goal,6,13,64,,
Stephen Curry,1,2PT Field Goal,12,116,34,,
Stephen Curry,0,2PT Field Goal,12,65,104,,
Stephen Curry,1,2PT Field Goal,11,-37,108,,
Stephen Curry,1,2PT Field Goal,7,-51,52,,
Stephen Curry,1,2PT Field Goal,5,-18,50,,
Stephen Curry,0,2PT Field Goal,9,-8,96,,
Stephen Curry,1,2PT Field Goal,10,-2,104,,
Stephen Curry,0,2PT Field Goal,12,-4,121,,
Stephen Curry,0,2PT Field Goal,11,-111,-11,,
Stephen Curry,1,2PT Field Goal,12,-70,105,,
Stephen Curry,0,2PT Field Goal,18,-108,154,,
Stephen Curry,0,2PT Field Goal,6,-45,45,,
Stephen Curry,1,2PT Field Goal,14,65,124,,
Stephen Curry,1,2PT Field Goal,16,122,104,,
Stephen Curry,0,2PT Field Goal,5,6,50,,
Stephen Curry,1,2PT Field Goal,10,-15,107,,
Stephen Curry,0,2PT Field Goal,15,89,131,,
Stephen Curry,0,2PT Field Goal,7,24,69,,
Stephen Curry,1,2PT Field Goal,10,1,107,,
Stephen Curry,0,2PT Field Goal,5,4,56,,
Stephen Curry,0,2PT Field Goal,5,1,52,,
Stephen Curry,0,2PT Field Goal,6,13,67,,
Stephen Curry,0,2PT Field Goal,10,-95,53,,
Stephen Curry,0,2PT Field Goal,9,89,28,,
Stephen Curry,0,2PT Field Goal,18,157,93,,
Stephen Curry,1,2PT Field Goal,15,-152,41,,
Stephen Curry,1,2PT Field Goal,14,-122,75,,
Stephen Curry,0,2PT Field Goal,12,-100,67,,
Stephen Curry,1,2PT Field Goal,6,-64,22,,
Stephen Curry,1,2PT Field Goal,12,-103,77,,
Stephen Curry,1,2PT Field Goal,4,-40,26,,
Stephen Curry,1,3PT Field Goal,26,17,260,,
Stephen Curry,1,2PT Field Goal,5,-51,7,,
Stephen Curry,0,3PT Field Goal,27,-82,260,,
Stephen Curry,0,3PT Field Goal,26,-78,249,,
Stephen Curry,0,3PT Field Goal,25,-56,252,,
Stephen Curry,0,2PT Field Goal,12,102,75,,
Stephen Curry,0,2PT Field Goal,22,147,164,,
Stephen Curry,0,2PT Field Goal,15,-10,151,,
Stephen Curry,0,2PT Field Goal,8,-78,34,,
Stephen Curry,1,3PT Field Goal,24,-18,246,,
Stephen Curry,1,3PT Field Goal,24,225,99,,
Stephen Curry,0,2PT Field Goal,7,62,37,,
Stephen Curry,1,3PT Field Goal,26,-123,230,,
Stephen Curry,1,3PT Field Goal,26,-123,230,,
Stephen Curry,1,3PT Field Goal,24,-199,148,,
Stephen Curry,1,2PT Field Goal,17,-95,151,,
Stephen Curry,1,2PT Field Goal,22,146,170,,
Stephen Curry,1,3PT Field Goal,24,-155,189,,
Stephen Curry,1,3PT Field Goal,22,226,42,,
Stephen Curry,1,3PT Field Goal,24,122,211,,
Stephen Curry,1,3PT Field Goal,25,236,91,,
Stephen Curry,1,3PT Field Goal,27,21,272,,
Stephen Curry,1,3PT Field Goal,23,233,-10,,
Stephen Curry,1,3PT Field Goal,23,-231,22,,
Stephen Curry,1,3PT Field Goal,24,-84,230,,
Stephen Curry,0,3PT Field Goal,25,6,251,,
Stephen Curry,0,3PT Field Goal,28,152,242,,
Stephen Curry,1,3PT Field Goal,26,15,260,,
Stephen Curry,1,3PT Field Goal,25,138,211,,
Stephen Curry,1,3PT Field Goal,28,-188,214,,
Stephen Curry,1,3PT Field Goal,28,-171,224,,
Stephen Curry,1,3PT Field Goal,25,125,220,,
Stephen Curry,0,3PT Field Goal,51,40,518,,
Stephen Curry,1,2PT Field Goal,19,-157,118,,
Stephen Curry,0,3PT Field Goal,24,-138,205,,
Stephen Curry,1,2PT Field Goal,17,108,135,,
Stephen Curry,1,2PT Field Goal,12,53,110,,
Stephen Curry,1,3PT Field Goal,26,-19,268,,
Stephen Curry,1,2PT Field Goal,17,13,175,,
Stephen Curry,1,2PT Field Goal,6,-60,30,,
Stephen Curry,0,3PT Field Goal,24,-79,227,,
Stephen Curry,1,2PT Field Goal,20,-196,60,,
Stephen Curry,1,3PT Field Goal,25,-87,239,,
Stephen Curry,0,2PT Field Goal,21,-169,138,,
Stephen Curry,1,2PT Field Goal,20,-134,154,,
Stephen Curry,1,2PT Field Goal,12,-13,124,,
Stephen Curry,1,2PT Field Goal,19,-133,137,,
Stephen Curry,1,3PT Field Goal,25,-157,195,,
Stephen Curry,0,3PT Field Goal,24,15,241,,
Stephen Curry,1,2PT Field Goal,19,75,181,,
Stephen Curry,1,2PT Field Goal,12,26,127,,
Stephen Curry,1,3PT Field Goal,29,203,209,,
Stephen Curry,1,3PT Field Goal,22,226,23,,
Stephen Curry,0,3PT Field Goal,25,-168,192,,
Stephen Curry,0,3PT Field Goal,23,-232,3,,
Stephen Curry,1,3PT Field Goal,25,-155,198,,
Stephen Curry,1,3PT Field Goal,24,146,200,,
Stephen Curry,1,3PT Field Goal,25,32,257,,
Stephen Curry,1,2PT Field Goal,21,-75,205,,
Stephen Curry,0,2PT Field Goal,18,-27,183,,
Stephen Curry,1,3PT Field Goal,25,-84,241,,
Stephen Curry,0,2PT Field Goal,8,-89,7,,
Stephen Curry,1,2PT Field Goal,5,47,36,,
Stephen Curry,1,3PT Field Goal,25,88,242,,
Stephen Curry,1,3PT Field Goal,26,-163,206,,
Stephen Curry,1,3PT Field Goal,25,-89,242,,
Stephen Curry,1,2PT Field Goal,18,-81,170,,
Stephen Curry,1,3PT Field Goal,25,-4,257,,
Stephen Curry,0,2PT Field Goal,10,95,52,,
Stephen Curry,0,3PT Field Goal,25,4,258,,
Stephen Curry,0,2PT Field Goal,19,-141,137,,
Stephen Curry,1,3PT Field Goal,26,-29,263,,
Stephen Curry,1,3PT Field Goal,27,-114,247,,
Stephen Curry,0,3PT Field Goal,26,114,239,,
Stephen Curry,0,3PT Field Goal,25,173,189,,
Stephen Curry,1,3PT Field Goal,24,242,31,,
Stephen Curry,1,3PT Field Goal,24,24,246,,
Stephen Curry,0,3PT Field Goal,24,-144,203,,
Stephen Curry,0,3PT Field Goal,25,86,244,,
Stephen Curry,1,3PT Field Goal,24,-231,86,,
Stephen Curry,1,3PT Field Goal,24,-59,241,,
Stephen Curry,1,3PT Field Goal,25,160,194,,
Stephen Curry,1,3PT Field Goal,25,51,247,,
Stephen Curry,1,3PT Field Goal,24,-15,246,,
Stephen Curry,1,3PT Field Goal,24,-201,138,,
Stephen Curry,0,2PT Field Goal,13,62,121,,
