name,shot_made_flag,shot_type,shot_distance,x,y
DeMar DeRozan,1,2PT Field Goal,1,-5,12
DeMar DeRozan,0,2PT Field Goal,0,0,4
DeMar DeRozan,1,2PT Field Goal,0,7,1
DeMar DeRozan,1,2PT Field Goal,2,-21,7
DeMar DeRozan,0,2PT Field Goal,3,34,12
DeMar DeRozan,1,2PT Field Goal,2,1,20
DeMar DeRozan,1,2PT Field Goal,1,-5,11
DeMar DeRozan,1,2PT Field Goal,1,-11,-5
DeMar DeRozan,1,2PT Field Goal,3,-34,0
DeMar DeRozan,0,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,0,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,13,-125,55
DeMar DeRozan,0,2PT Field Goal,16,0,160
DeMar DeRozan,0,2PT Field Goal,17,-177,9
DeMar DeRozan,1,2PT Field Goal,11,-54,102
DeMar DeRozan,1,2PT Field Goal,16,0,167
DeMar DeRozan,0,2PT Field Goal,10,-5,102
DeMar DeRozan,1,2PT Field Goal,11,-2,110
DeMar DeRozan,1,2PT Field Goal,11,-109,20
DeMar DeRozan,1,2PT Field Goal,12,-125,11
DeMar DeRozan,1,2PT Field Goal,14,114,85
DeMar DeRozan,0,2PT Field Goal,16,160,20
DeMar DeRozan,1,2PT Field Goal,7,0,71
DeMar DeRozan,0,2PT Field Goal,17,13,173
DeMar DeRozan,0,2PT Field Goal,16,165,0
DeMar DeRozan,0,2PT Field Goal,8,34,80
DeMar DeRozan,1,2PT Field Goal,7,-2,77
DeMar DeRozan,1,2PT Field Goal,17,-122,132
DeMar DeRozan,1,2PT Field Goal,15,151,12
DeMar DeRozan,0,2PT Field Goal,14,-134,42
DeMar DeRozan,0,2PT Field Goal,15,157,15
DeMar DeRozan,1,2PT Field Goal,19,195,26
DeMar DeRozan,0,2PT Field Goal,15,-152,25
DeMar DeRozan,0,2PT Field Goal,13,-112,66
DeMar DeRozan,0,2PT Field Goal,15,157,7
DeMar DeRozan,1,2PT Field Goal,16,97,131
DeMar DeRozan,0,2PT Field Goal,15,157,7
DeMar DeRozan,0,2PT Field Goal,17,-86,153
DeMar DeRozan,0,2PT Field Goal,13,-87,108
DeMar DeRozan,1,2PT Field Goal,8,-89,9
